,token_list
0,"[101, 3341, 702, 5312, 1366, 808, 102, 6905, 3192, 102]"
1,"[101, 5314, 2769, 948, 3344, 3717, 102, 6905, 3192, 102]"
2,"[101, 5314, 2769, 948, 3344, 3717, 3341, 102, 6905, 3192, 102]"
3,"[101, 2571, 5314, 2769, 948, 3344, 3717, 102, 6905, 3192, 102]"
4,"[101, 5314, 2769, 948, 3344, 3717, 3341, 8013, 102, 6905, 3192, 102]"
5,"[101, 2571, 5314, 2769, 948, 3344, 3717, 8013, 102, 6905, 3192, 102]"
6,"[101, 5314, 2769, 948, 3344, 3717, 8013, 102, 6905, 3192, 102]"
7,"[101, 5314, 2769, 948, 3344, 4178, 3717, 102, 6905, 3192, 102]"
8,"[101, 5314, 2769, 948, 3344, 4178, 3717, 8013, 102, 6905, 3192, 102]"
9,"[101, 5314, 2769, 948, 3344, 1107, 3717, 102, 6905, 3192, 102]"
10,"[101, 5314, 2769, 948, 3344, 1107, 3717, 8013, 102, 6905, 3192, 102]"
11,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 8013, 102, 6905, 3192, 102]"
12,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 102, 6905, 3192, 102]"
13,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 102, 6905, 3192, 102]"
14,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 8013, 102, 6905, 3192, 102]"
15,"[101, 2571, 5314, 2769, 948, 3344, 1117, 4635, 2458, 8013, 102, 6905, 3192, 102]"
16,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 8013, 102, 6905, 3192, 102]"
17,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 102, 6905, 3192, 102]"
18,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 8013, 102, 6905, 3192, 102]"
19,"[101, 5314, 2769, 948, 3344, 1102, 3717, 102, 6905, 3192, 102]"
20,"[101, 2571, 5314, 2769, 948, 3344, 1102, 3717, 8013, 102, 6905, 3192, 102]"
21,"[101, 5314, 2769, 948, 3344, 1102, 3717, 8013, 102, 6905, 3192, 102]"
22,"[101, 5314, 2769, 948, 3344, 1102, 3717, 1416, 102, 6905, 3192, 102]"
23,"[101, 5314, 2769, 948, 3344, 3717, 1416, 102, 6905, 3192, 102]"
24,"[101, 5314, 2769, 948, 3344, 3717, 3341, 1416, 8013, 102, 6905, 3192, 102]"
25,"[101, 5314, 2769, 948, 3344, 1102, 3717, 3341, 102, 6905, 3192, 102]"
26,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 1416, 102, 6905, 3192, 102]"
27,"[101, 5314, 2769, 948, 3344, 4635, 2458, 3717, 1416, 8013, 102, 6905, 3192, 102]"
28,"[101, 2571, 5314, 2769, 948, 3344, 4635, 2458, 3717, 1416, 8013, 102, 6905, 3192, 102]"
29,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 1416, 8013, 102, 6905, 3192, 102]"
30,"[101, 5314, 2769, 948, 3344, 3717, 1557, 102, 6905, 3192, 102]"
31,"[101, 5314, 2769, 948, 3344, 3717, 1557, 8013, 102, 6905, 3192, 102]"
32,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 1557, 102, 6905, 3192, 102]"
33,"[101, 5314, 2769, 948, 3344, 1117, 4635, 2458, 1557, 8013, 102, 6905, 3192, 102]"
34,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 1557, 8013, 102, 6905, 3192, 102]"
35,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 1557, 102, 6905, 3192, 102]"
36,"[101, 2571, 5314, 2769, 948, 3344, 1107, 3717, 1557, 8013, 102, 6905, 3192, 102]"
37,"[101, 2571, 5314, 2769, 948, 3344, 4178, 3717, 1557, 102, 6905, 3192, 102]"
38,"[101, 5314, 2769, 948, 3344, 1102, 3717, 1557, 8013, 102, 6905, 3192, 102]"
39,"[101, 2571, 5314, 2769, 948, 3344, 1102, 3717, 1557, 8013, 102, 6905, 3192, 102]"
40,"[101, 5314, 2769, 948, 3344, 3946, 3717, 102, 6905, 3192, 102]"
41,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 102, 6905, 3192, 102]"
42,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1416, 102, 6905, 3192, 102]"
43,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1557, 102, 6905, 3192, 102]"
44,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1416, 102, 6905, 3192, 102]"
45,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1557, 102, 6905, 3192, 102]"
46,"[101, 5314, 2769, 948, 3344, 3946, 3717, 8013, 102, 6905, 3192, 102]"
47,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 8013, 102, 6905, 3192, 102]"
48,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1416, 8013, 102, 6905, 3192, 102]"
49,"[101, 5314, 2769, 948, 3344, 3946, 3717, 1557, 8013, 102, 6905, 3192, 102]"
50,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1416, 8013, 102, 6905, 3192, 102]"
51,"[101, 2571, 5314, 2769, 948, 3344, 3946, 3717, 1557, 8013, 102, 6905, 3192, 102]"
52,"[101, 5314, 2769, 948, 3344, 1377, 727, 102, 6905, 3192, 102]"
53,"[101, 5314, 2769, 948, 3344, 1377, 727, 1416, 102, 6905, 3192, 102]"
54,"[101, 5314, 2769, 948, 3344, 1377, 727, 1557, 102, 6905, 3192, 102]"
55,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 102, 6905, 3192, 102]"
56,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1557, 102, 6905, 3192, 102]"
57,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1416, 102, 6905, 3192, 102]"
58,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1435, 102, 6905, 3192, 102]"
59,"[101, 5314, 2769, 948, 3344, 1377, 727, 8013, 102, 6905, 3192, 102]"
60,"[101, 5314, 2769, 948, 3344, 1377, 727, 1416, 8013, 102, 6905, 3192, 102]"
61,"[101, 5314, 2769, 948, 3344, 1377, 727, 1557, 8013, 102, 6905, 3192, 102]"
62,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 8013, 102, 6905, 3192, 102]"
63,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1557, 8013, 102, 6905, 3192, 102]"
64,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1416, 8013, 102, 6905, 3192, 102]"
65,"[101, 2571, 5314, 2769, 948, 3344, 1377, 727, 1435, 8013, 102, 6905, 3192, 102]"
66,"[101, 5314, 2769, 948, 3344, 7434, 4819, 102, 6905, 3192, 102]"
67,"[101, 5314, 2769, 948, 3344, 7434, 4819, 1416, 102, 6905, 3192, 102]"
68,"[101, 5314, 2769, 948, 3344, 7434, 4819, 1557, 102, 6905, 3192, 102]"
69,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 102, 6905, 3192, 102]"
70,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 1557, 102, 6905, 3192, 102]"
71,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 1416, 102, 6905, 3192, 102]"
72,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 1435, 102, 6905, 3192, 102]"
73,"[101, 5314, 2769, 948, 3344, 7434, 4819, 8013, 102, 6905, 3192, 102]"
74,"[101, 5314, 2769, 948, 3344, 7434, 4819, 1416, 8013, 102, 6905, 3192, 102]"
75,"[101, 5314, 2769, 948, 3344, 7434, 4819, 1557, 8013, 102, 6905, 3192, 102]"
76,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 8013, 102, 6905, 3192, 102]"
77,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 1557, 8013, 102, 6905, 3192, 102]"
78,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 1416, 8013, 102, 6905, 3192, 102]"
79,"[101, 2571, 5314, 2769, 948, 3344, 7434, 4819, 1435, 8013, 102, 6905, 3192, 102]"
80,"[101, 5314, 2769, 948, 3344, 3581, 3723, 102, 6905, 3192, 102]"
81,"[101, 5314, 2769, 948, 3344, 3581, 3723, 1416, 102, 6905, 3192, 102]"
82,"[101, 5314, 2769, 948, 3344, 3581, 3723, 1557, 102, 6905, 3192, 102]"
83,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 102, 6905, 3192, 102]"
84,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 1557, 102, 6905, 3192, 102]"
85,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 1416, 102, 6905, 3192, 102]"
86,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 1435, 102, 6905, 3192, 102]"
87,"[101, 5314, 2769, 948, 3344, 3581, 3723, 8013, 102, 6905, 3192, 102]"
88,"[101, 5314, 2769, 948, 3344, 3581, 3723, 1416, 8013, 102, 6905, 3192, 102]"
89,"[101, 5314, 2769, 948, 3344, 3581, 3723, 1557, 8013, 102, 6905, 3192, 102]"
90,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 8013, 102, 6905, 3192, 102]"
91,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 1557, 8013, 102, 6905, 3192, 102]"
92,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 1416, 8013, 102, 6905, 3192, 102]"
93,"[101, 2571, 5314, 2769, 948, 3344, 3581, 3723, 1435, 8013, 102, 6905, 3192, 102]"
94,"[101, 5314, 2769, 948, 3344, 2014, 1894, 2555, 102, 6905, 3192, 102]"
95,"[101, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1416, 102, 6905, 3192, 102]"
96,"[101, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1557, 102, 6905, 3192, 102]"
97,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 102, 6905, 3192, 102]"
98,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1557, 102, 6905, 3192, 102]"
99,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1416, 102, 6905, 3192, 102]"
100,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1435, 102, 6905, 3192, 102]"
101,"[101, 5314, 2769, 948, 3344, 2014, 1894, 2555, 8013, 102, 6905, 3192, 102]"
102,"[101, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1416, 8013, 102, 6905, 3192, 102]"
103,"[101, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1557, 8013, 102, 6905, 3192, 102]"
104,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 8013, 102, 6905, 3192, 102]"
105,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1557, 8013, 102, 6905, 3192, 102]"
106,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1416, 8013, 102, 6905, 3192, 102]"
107,"[101, 2571, 5314, 2769, 948, 3344, 2014, 1894, 2555, 1435, 8013, 102, 6905, 3192, 102]"
108,"[101, 6382, 702, 5312, 1366, 808, 102, 6905, 3192, 102]"
109,"[101, 5314, 2769, 6432, 702, 5312, 1366, 808, 102, 6905, 3192, 102]"
110,"[101, 5314, 2769, 6382, 702, 5312, 1366, 808, 102, 6905, 3192, 102]"
111,"[101, 2769, 2682, 1420, 671, 702, 3125, 752, 102, 6905, 3192, 102]"
112,"[101, 5314, 2769, 6432, 702, 3125, 752, 102, 6905, 3192, 102]"
113,"[101, 6628, 5165, 5314, 2769, 6382, 702, 3125, 752, 102, 6905, 3192, 102]"
114,"[101, 3341, 702, 3125, 752, 102, 6905, 3192, 102]"
115,"[101, 2571, 5314, 2769, 6382, 3125, 752, 102, 6905, 3192, 102]"
116,"[101, 2769, 2682, 1420, 3125, 752, 102, 6905, 3192, 102]"
117,"[101, 6382, 702, 3125, 752, 1420, 1420, 102, 6905, 3192, 102]"
118,"[101, 5314, 2769, 1548, 702, 776, 1196, 102, 6905, 3192, 102]"
119,"[101, 5314, 2769, 3341, 3667, 5564, 1366, 4899, 102, 6905, 3192, 102]"
120,"[101, 2769, 2682, 1420, 5564, 1366, 4899, 102, 6905, 3192, 102]"
121,"[101, 3341, 702, 5564, 1366, 4899, 102, 6905, 3192, 102]"
122,"[101, 6382, 702, 5564, 1366, 4899, 102, 6905, 3192, 102]"
123,"[101, 2769, 2682, 1420, 671, 3667, 5564, 1366, 4899, 102, 6905, 3192, 102]"
124,"[101, 5314, 2769, 6432, 702, 5564, 1366, 4899, 102, 6905, 3192, 102]"
125,"[101, 6382, 702, 5312, 1366, 808, 8013, 102, 6905, 3192, 102]"
126,"[101, 5314, 2769, 6432, 702, 5312, 1366, 808, 8013, 102, 6905, 3192, 102]"
127,"[101, 5314, 2769, 6382, 702, 5312, 1366, 808, 8013, 102, 6905, 3192, 102]"
128,"[101, 2769, 2682, 1420, 671, 702, 3125, 752, 8013, 102, 6905, 3192, 102]"
129,"[101, 5314, 2769, 6432, 702, 3125, 752, 8013, 102, 6905, 3192, 102]"
130,"[101, 6628, 5165, 5314, 2769, 6382, 702, 3125, 752, 8013, 102, 6905, 3192, 102]"
131,"[101, 3341, 702, 3125, 752, 8013, 102, 6905, 3192, 102]"
132,"[101, 2571, 5314, 2769, 6382, 3125, 752, 8013, 102, 6905, 3192, 102]"
133,"[101, 2769, 2682, 1420, 3125, 752, 8013, 102, 6905, 3192, 102]"
134,"[101, 6382, 702, 3125, 752, 1420, 1420, 8013, 102, 6905, 3192, 102]"
135,"[101, 5314, 2769, 1548, 702, 776, 1196, 8013, 102, 6905, 3192, 102]"
136,"[101, 5314, 2769, 3341, 3667, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
137,"[101, 2769, 2682, 1420, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
138,"[101, 3341, 702, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
139,"[101, 6382, 702, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
140,"[101, 2769, 2682, 1420, 671, 3667, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
141,"[101, 5314, 2769, 6432, 702, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
142,"[101, 5314, 2769, 3341, 3667, 4685, 1898, 8013, 102, 6905, 3192, 102]"
143,"[101, 2769, 2682, 1420, 4685, 1898, 8013, 102, 6905, 3192, 102]"
144,"[101, 3341, 702, 4685, 1898, 8013, 102, 6905, 3192, 102]"
145,"[101, 6382, 702, 4685, 1898, 8013, 102, 6905, 3192, 102]"
146,"[101, 2769, 2682, 1420, 671, 3667, 4685, 1898, 8013, 102, 6905, 3192, 102]"
147,"[101, 5314, 2769, 6432, 702, 4685, 1898, 8013, 102, 6905, 3192, 102]"
148,"[101, 5314, 2769, 3341, 3667, 4685, 1898, 102, 6905, 3192, 102]"
149,"[101, 2769, 2682, 1420, 4685, 1898, 102, 6905, 3192, 102]"
150,"[101, 3341, 702, 4685, 1898, 102, 6905, 3192, 102]"
151,"[101, 6382, 702, 4685, 1898, 102, 6905, 3192, 102]"
152,"[101, 2769, 2682, 1420, 671, 3667, 4685, 1898, 102, 6905, 3192, 102]"
153,"[101, 5314, 2769, 6432, 702, 4685, 1898, 102, 6905, 3192, 102]"
154,"[101, 5314, 2769, 3341, 3667, 6397, 741, 102, 6905, 3192, 102]"
155,"[101, 2769, 2682, 1420, 6397, 741, 102, 6905, 3192, 102]"
156,"[101, 3341, 702, 6397, 741, 102, 6905, 3192, 102]"
157,"[101, 6382, 3667, 6397, 741, 102, 6905, 3192, 102]"
158,"[101, 2769, 2682, 1420, 671, 3667, 6397, 741, 102, 6905, 3192, 102]"
159,"[101, 5314, 2769, 6432, 3667, 6397, 741, 102, 6905, 3192, 102]"
160,"[101, 5314, 2769, 3341, 3667, 6397, 741, 8013, 102, 6905, 3192, 102]"
161,"[101, 2769, 2682, 1420, 6397, 741, 8013, 102, 6905, 3192, 102]"
162,"[101, 3341, 702, 6397, 741, 8013, 102, 6905, 3192, 102]"
163,"[101, 6382, 3667, 6397, 741, 8013, 102, 6905, 3192, 102]"
164,"[101, 2769, 2682, 1420, 671, 3667, 6397, 741, 8013, 102, 6905, 3192, 102]"
165,"[101, 5314, 2769, 6432, 3667, 6397, 741, 8013, 102, 6905, 3192, 102]"
166,"[101, 5314, 2769, 1548, 7674, 3625, 102, 6905, 3192, 102]"
167,"[101, 5314, 2769, 1548, 7674, 2519, 3302, 102, 6905, 3192, 102]"
168,"[101, 5314, 2769, 1548, 7674, 148, 143, 146, 147, 100, 162, 157, 100, 144, 154, 143, 145, 153, 102, 6905, 3192, 102]"
169,"[101, 5314, 2769, 1548, 7674, 146, 160, 147, 143, 155, 151, 156, 149, 100, 155, 167, 100, 146, 160, 147, 143, 155, 102, 6905, 3192, 102]"
170,"[101, 5314, 2769, 1548, 7674, 146, 167, 151, 156, 149, 100, 151, 156, 100, 162, 150, 147, 100, 161, 163, 156, 102, 6905, 3192, 102]"
171,"[101, 5314, 2769, 1548, 7674, 148, 143, 160, 100, 143, 165, 143, 167, 100, 148, 160, 157, 155, 100, 150, 157, 155, 147, 102, 6905, 3192, 102]"
172,"[101, 5314, 2769, 1548, 7674, 7937, 7411, 102, 6905, 3192, 102]"
173,"[101, 5314, 2769, 1548, 7674, 153, 156, 157, 145, 153, 151, 156, 149, 100, 157, 156, 100, 150, 147, 143, 164, 147, 156, 3, 161, 100, 146, 157, 157, 160, 102, 6905, 3192, 102]"
174,"[101, 5314, 2769, 1548, 7674, 151, 155, 143, 149, 151, 156, 147, 102, 6905, 3192, 102]"
175,"[101, 5314, 2769, 1548, 7674, 167, 147, 161, 162, 147, 160, 146, 143, 167, 102, 6905, 3192, 102]"
176,"[101, 5314, 2769, 1548, 7674, 151, 162, 3, 161, 100, 155, 167, 100, 154, 151, 148, 147, 102, 6905, 3192, 102]"
177,"[101, 5314, 2769, 1548, 7674, 146, 147, 154, 151, 145, 151, 157, 163, 161, 100, 165, 143, 167, 102, 6905, 3192, 102]"
178,"[101, 5314, 2769, 1548, 7674, 165, 150, 147, 156, 100, 167, 157, 163, 100, 144, 147, 154, 151, 147, 164, 147, 102, 6905, 3192, 102]"
179,"[101, 5314, 2769, 1548, 7674, 156, 147, 164, 147, 160, 100, 161, 143, 167, 100, 149, 157, 157, 146, 144, 167, 147, 102, 6905, 3192, 102]"
180,"[101, 5314, 2769, 1548, 7674, 149, 157, 156, 147, 100, 143, 165, 143, 167, 102, 6905, 3192, 102]"
181,"[101, 5314, 2769, 1548, 7674, 149, 157, 146, 100, 151, 161, 100, 143, 100, 149, 151, 160, 154, 102, 6905, 3192, 102]"
182,"[101, 5314, 2769, 1548, 7674, 704, 1744, 6413, 102, 6905, 3192, 102]"
183,"[101, 5314, 2769, 1548, 7674, 148, 143, 146, 147, 100, 162, 157, 100, 144, 154, 143, 145, 153, 8013, 102, 6905, 3192, 102]"
184,"[101, 5314, 2769, 1548, 7674, 146, 160, 147, 143, 155, 151, 156, 149, 100, 155, 167, 100, 146, 160, 147, 143, 155, 8013, 102, 6905, 3192, 102]"
185,"[101, 5314, 2769, 1548, 7674, 146, 167, 151, 156, 149, 100, 151, 156, 100, 162, 150, 147, 100, 161, 163, 156, 8013, 102, 6905, 3192, 102]"
186,"[101, 5314, 2769, 1548, 7674, 148, 143, 160, 100, 143, 165, 143, 167, 100, 148, 160, 157, 155, 100, 150, 157, 155, 147, 8013, 102, 6905, 3192, 102]"
187,"[101, 5314, 2769, 1548, 7674, 7937, 7411, 8013, 102, 6905, 3192, 102]"
188,"[101, 5314, 2769, 1548, 7674, 153, 156, 157, 145, 153, 151, 156, 149, 100, 157, 156, 100, 150, 147, 143, 164, 147, 156, 3, 161, 100, 146, 157, 157, 160, 8013, 102, 6905, 3192, 102]"
189,"[101, 5314, 2769, 1548, 7674, 151, 155, 143, 149, 151, 156, 147, 8013, 102, 6905, 3192, 102]"
190,"[101, 5314, 2769, 1548, 7674, 167, 147, 161, 162, 147, 160, 146, 143, 167, 8013, 102, 6905, 3192, 102]"
191,"[101, 5314, 2769, 1548, 7674, 151, 162, 3, 161, 100, 155, 167, 100, 154, 151, 148, 147, 8013, 102, 6905, 3192, 102]"
192,"[101, 5314, 2769, 1548, 7674, 146, 147, 154, 151, 145, 151, 157, 163, 161, 100, 165, 143, 167, 8013, 102, 6905, 3192, 102]"
193,"[101, 5314, 2769, 1548, 7674, 165, 150, 147, 156, 100, 167, 157, 163, 100, 144, 147, 154, 151, 147, 164, 147, 8013, 102, 6905, 3192, 102]"
194,"[101, 5314, 2769, 1548, 7674, 156, 147, 164, 147, 160, 100, 161, 143, 167, 100, 149, 157, 157, 146, 144, 167, 147, 8013, 102, 6905, 3192, 102]"
195,"[101, 5314, 2769, 1548, 7674, 149, 157, 156, 147, 100, 143, 165, 143, 167, 8013, 102, 6905, 3192, 102]"
196,"[101, 5314, 2769, 1548, 7674, 149, 157, 146, 100, 151, 161, 100, 143, 100, 149, 151, 160, 154, 8013, 102, 6905, 3192, 102]"
197,"[101, 5314, 2769, 1548, 7674, 704, 1744, 6413, 8013, 102, 6905, 3192, 102]"
198,"[101, 5314, 2769, 2573, 702, 3125, 752, 102, 6905, 3192, 102]"
199,"[101, 5314, 2769, 1315, 1069, 671, 3667, 5564, 1366, 4899, 102, 6905, 3192, 102]"
200,"[101, 1315, 1069, 1548, 7674, 3625, 1416, 102, 6905, 3192, 102]"
201,"[101, 1315, 1069, 6382, 702, 5010, 6413, 1416, 102, 6905, 3192, 102]"
202,"[101, 1315, 1069, 6382, 702, 5010, 6413, 102, 6905, 3192, 102]"
203,"[101, 5314, 2769, 2573, 702, 3125, 752, 8013, 102, 6905, 3192, 102]"
204,"[101, 5314, 2769, 1315, 1069, 671, 3667, 5564, 1366, 4899, 8013, 102, 6905, 3192, 102]"
205,"[101, 1315, 1069, 1548, 7674, 3625, 1416, 8013, 102, 6905, 3192, 102]"
206,"[101, 1315, 1069, 6382, 702, 5010, 6413, 1416, 8013, 102, 6905, 3192, 102]"
207,"[101, 1315, 1069, 6382, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
208,"[101, 3341, 3667, 148, 160, 147, 147, 161, 162, 167, 154, 147, 102, 6905, 3192, 102]"
209,"[101, 3341, 3667, 148, 160, 147, 147, 161, 162, 167, 154, 147, 8013, 102, 6905, 3192, 102]"
210,"[101, 3341, 702, 1207, 1349, 102, 6905, 3192, 102]"
211,"[101, 3341, 702, 1207, 1349, 8013, 102, 6905, 3192, 102]"
212,"[101, 3341, 1207, 702, 1349, 102, 6905, 3192, 102]"
213,"[101, 3341, 1207, 702, 1349, 8013, 102, 6905, 3192, 102]"
214,"[101, 3341, 3018, 4157, 7178, 102, 6905, 3192, 102]"
215,"[101, 3341, 3018, 4157, 7178, 8013, 102, 6905, 3192, 102]"
216,"[101, 6628, 5165, 1343, 1391, 7649, 102, 6905, 3192, 102]"
217,"[101, 6628, 5165, 1343, 1391, 7649, 8013, 102, 6905, 3192, 102]"
218,"[101, 1343, 1391, 7649, 749, 102, 6905, 3192, 102]"
219,"[101, 1343, 1391, 7649, 749, 8013, 102, 6905, 3192, 102]"
220,"[101, 5314, 2769, 7178, 102, 6905, 3192, 102]"
221,"[101, 5314, 2769, 782, 3696, 2355, 102, 6905, 3192, 102]"
222,"[101, 5314, 2769, 5401, 7032, 102, 6905, 3192, 102]"
223,"[101, 5314, 2769, 5739, 7257, 102, 6905, 3192, 102]"
224,"[101, 5314, 2769, 1548, 3625, 102, 6905, 3192, 102]"
225,"[101, 5314, 2769, 1548, 2658, 3625, 102, 6905, 3192, 102]"
226,"[101, 5314, 2769, 6432, 7506, 6427, 102, 6905, 3192, 102]"
227,"[101, 5314, 2769, 3064, 3123, 7506, 1196, 102, 6905, 3192, 102]"
228,"[101, 5314, 2769, 3064, 3123, 4510, 6228, 1196, 102, 6905, 3192, 102]"
229,"[101, 5314, 2769, 4692, 4510, 2512, 102, 6905, 3192, 102]"
230,"[101, 5314, 2769, 1391, 7649, 102, 6905, 3192, 102]"
