,token_list
231,"[101, 5314, 2769, 3341, 3418, 4170, 102, 6905, 3192, 102]"
232,"[101, 6375, 2769, 7474, 7474, 102, 6905, 3192, 102]"
233,"[101, 5314, 2769, 7308, 1673, 102, 6905, 3192, 102]"
234,"[101, 6656, 2769, 6432, 6413, 102, 6905, 3192, 102]"
235,"[101, 6656, 2769, 5464, 1921, 102, 6905, 3192, 102]"
236,"[101, 5314, 2769, 779, 779, 102, 6905, 3192, 102]"
237,"[101, 5314, 2769, 1391, 671, 1366, 102, 6905, 3192, 102]"
238,"[101, 5314, 2769, 1600, 671, 1366, 102, 6905, 3192, 102]"
239,"[101, 5314, 2769, 948, 3344, 3717, 102, 6905, 3192, 102]"
240,"[101, 5314, 2769, 948, 3344, 4178, 3717, 102, 6905, 3192, 102]"
241,"[101, 5314, 2769, 2849, 2849, 102, 6905, 3192, 102]"
242,"[101, 5314, 2769, 743, 702, 6028, 5130, 102, 6905, 3192, 102]"
243,"[101, 5314, 2769, 948, 3344, 1377, 727, 102, 6905, 3192, 102]"
244,"[101, 5314, 2769, 948, 3344, 7434, 4819, 102, 6905, 3192, 102]"
245,"[101, 5314, 2769, 948, 3344, 5705, 6809, 102, 6905, 3192, 102]"
246,"[101, 5314, 2769, 743, 4486, 3698, 3796, 3717, 102, 6905, 3192, 102]"
247,"[101, 5314, 2769, 743, 3344, 1476, 1565, 102, 6905, 3192, 102]"
248,"[101, 5314, 2769, 792, 5305, 872, 4638, 2157, 782, 102, 6905, 3192, 102]"
249,"[101, 5314, 2769, 671, 4636, 1779, 102, 6905, 3192, 102]"
250,"[101, 5314, 2769, 671, 1779, 7178, 102, 6905, 3192, 102]"
251,"[101, 6628, 5165, 6624, 102, 6905, 3192, 102]"
252,"[101, 671, 6629, 1343, 1391, 4173, 4171, 102, 6905, 3192, 102]"
253,"[101, 671, 6629, 1343, 4692, 4510, 2512, 102, 6905, 3192, 102]"
254,"[101, 5314, 2769, 2828, 4970, 2366, 2861, 2458, 102, 6905, 3192, 102]"
255,"[101, 5314, 2769, 7178, 8013, 102, 6905, 3192, 102]"
256,"[101, 5314, 2769, 782, 3696, 2355, 8013, 102, 6905, 3192, 102]"
257,"[101, 5314, 2769, 5401, 7032, 8013, 102, 6905, 3192, 102]"
258,"[101, 5314, 2769, 5739, 7257, 8013, 102, 6905, 3192, 102]"
259,"[101, 5314, 2769, 1548, 3625, 8013, 102, 6905, 3192, 102]"
260,"[101, 5314, 2769, 1548, 2658, 3625, 8013, 102, 6905, 3192, 102]"
261,"[101, 5314, 2769, 6432, 7506, 6427, 8013, 102, 6905, 3192, 102]"
262,"[101, 5314, 2769, 3064, 3123, 7506, 1196, 8013, 102, 6905, 3192, 102]"
263,"[101, 5314, 2769, 3064, 3123, 4510, 6228, 1196, 8013, 102, 6905, 3192, 102]"
264,"[101, 5314, 2769, 4692, 4510, 2512, 8013, 102, 6905, 3192, 102]"
265,"[101, 5314, 2769, 1391, 7649, 8013, 102, 6905, 3192, 102]"
266,"[101, 5314, 2769, 3341, 3418, 4170, 8013, 102, 6905, 3192, 102]"
267,"[101, 6375, 2769, 7474, 7474, 8013, 102, 6905, 3192, 102]"
268,"[101, 5314, 2769, 7308, 1673, 8013, 102, 6905, 3192, 102]"
269,"[101, 6656, 2769, 6432, 6413, 8013, 102, 6905, 3192, 102]"
270,"[101, 6656, 2769, 5464, 1921, 8013, 102, 6905, 3192, 102]"
271,"[101, 5314, 2769, 779, 779, 8013, 102, 6905, 3192, 102]"
272,"[101, 5314, 2769, 1391, 671, 1366, 8013, 102, 6905, 3192, 102]"
273,"[101, 5314, 2769, 1600, 671, 1366, 8013, 102, 6905, 3192, 102]"
274,"[101, 5314, 2769, 948, 3344, 3717, 8013, 102, 6905, 3192, 102]"
275,"[101, 5314, 2769, 948, 3344, 4178, 3717, 8013, 102, 6905, 3192, 102]"
276,"[101, 5314, 2769, 2849, 2849, 8013, 102, 6905, 3192, 102]"
277,"[101, 5314, 2769, 743, 702, 6028, 5130, 8013, 102, 6905, 3192, 102]"
278,"[101, 5314, 2769, 948, 3344, 1377, 727, 8013, 102, 6905, 3192, 102]"
279,"[101, 5314, 2769, 948, 3344, 7434, 4819, 8013, 102, 6905, 3192, 102]"
280,"[101, 5314, 2769, 948, 3344, 5705, 6809, 8013, 102, 6905, 3192, 102]"
281,"[101, 5314, 2769, 743, 4486, 3698, 3796, 3717, 8013, 102, 6905, 3192, 102]"
282,"[101, 5314, 2769, 743, 3344, 1476, 1565, 8013, 102, 6905, 3192, 102]"
283,"[101, 5314, 2769, 792, 5305, 872, 4638, 2157, 782, 8013, 102, 6905, 3192, 102]"
284,"[101, 5314, 2769, 671, 4636, 1779, 8013, 102, 6905, 3192, 102]"
285,"[101, 5314, 2769, 671, 1779, 7178, 8013, 102, 6905, 3192, 102]"
286,"[101, 6628, 5165, 6624, 8013, 102, 6905, 3192, 102]"
287,"[101, 671, 6629, 1343, 1391, 4173, 4171, 8013, 102, 6905, 3192, 102]"
288,"[101, 671, 6629, 1343, 4692, 4510, 2512, 8013, 102, 6905, 3192, 102]"
289,"[101, 5314, 2769, 2828, 4970, 2366, 2861, 2458, 8013, 102, 6905, 3192, 102]"
290,"[101, 5314, 2769, 4692, 3616, 2349, 102, 6905, 3192, 102]"
291,"[101, 5314, 2769, 948, 3344, 1117, 3717, 102, 6905, 3192, 102]"
292,"[101, 5314, 2769, 3341, 3344, 1305, 2357, 1936, 6437, 102, 6905, 3192, 102]"
293,"[101, 5314, 7350, 2007, 948, 3344, 1305, 2357, 1936, 6437, 102, 6905, 3192, 102]"
294,"[101, 5314, 2769, 3341, 1199, 1962, 4277, 102, 6905, 3192, 102]"
295,"[101, 5314, 2769, 6756, 7170, 1267, 102, 6905, 3192, 102]"
296,"[101, 5314, 2769, 872, 4638, 4263, 102, 6905, 3192, 102]"
297,"[101, 5314, 2769, 872, 4638, 3344, 2094, 102, 6905, 3192, 102]"
298,"[101, 5314, 2769, 4692, 3616, 2349, 8013, 102, 6905, 3192, 102]"
299,"[101, 5314, 2769, 948, 3344, 1117, 3717, 8013, 102, 6905, 3192, 102]"
300,"[101, 5314, 2769, 3341, 3344, 1305, 2357, 1936, 6437, 8013, 102, 6905, 3192, 102]"
301,"[101, 5314, 7350, 2007, 948, 3344, 1305, 2357, 1936, 6437, 8013, 102, 6905, 3192, 102]"
302,"[101, 5314, 2769, 3341, 1199, 1962, 4277, 8013, 102, 6905, 3192, 102]"
303,"[101, 5314, 2769, 6756, 7170, 1267, 8013, 102, 6905, 3192, 102]"
304,"[101, 5314, 2769, 872, 4638, 4263, 8013, 102, 6905, 3192, 102]"
305,"[101, 3341, 702, 3289, 2094, 102, 6905, 3192, 102]"
306,"[101, 3341, 702, 3289, 2094, 8013, 102, 6905, 3192, 102]"
307,"[101, 679, 1963, 3341, 702, 3289, 2094, 102, 6905, 3192, 102]"
308,"[101, 3341, 702, 3289, 2094, 1446, 102, 6905, 3192, 102]"
309,"[101, 3341, 702, 3289, 2094, 1658, 102, 6905, 3192, 102]"
310,"[101, 3341, 702, 3289, 2094, 1435, 102, 6905, 3192, 102]"
311,"[101, 2571, 4157, 3341, 702, 3289, 2094, 102, 6905, 3192, 102]"
312,"[101, 3341, 702, 3289, 1036, 1658, 8013, 102, 6905, 3192, 102]"
313,"[101, 2571, 4157, 3341, 702, 3289, 2094, 8013, 102, 6905, 3192, 102]"
314,"[101, 6628, 5165, 3341, 702, 3289, 2094, 102, 6905, 3192, 102]"
315,"[101, 6628, 5165, 3341, 702, 3289, 2094, 8013, 102, 6905, 3192, 102]"
316,"[101, 3341, 702, 3289, 2094, 1416, 102, 6905, 3192, 102]"
317,"[101, 3341, 702, 3289, 2094, 1416, 8013, 102, 6905, 3192, 102]"
318,"[101, 3341, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
319,"[101, 3341, 702, 5010, 6413, 1435, 102, 6905, 3192, 102]"
320,"[101, 3341, 702, 5010, 6413, 102, 6905, 3192, 102]"
321,"[101, 679, 1963, 3341, 702, 5010, 6413, 102, 6905, 3192, 102]"
322,"[101, 5010, 6413, 3341, 671, 702, 8013, 102, 6905, 3192, 102]"
323,"[101, 5010, 6413, 3341, 671, 702, 102, 6905, 3192, 102]"
324,"[101, 5010, 6413, 3341, 671, 702, 1416, 102, 6905, 3192, 102]"
325,"[101, 3341, 702, 5010, 6413, 1416, 102, 6905, 3192, 102]"
326,"[101, 5010, 6413, 3341, 671, 702, 1416, 8013, 102, 6905, 3192, 102]"
327,"[101, 5010, 6413, 3341, 671, 702, 1435, 102, 6905, 3192, 102]"
328,"[101, 5010, 6413, 3341, 671, 702, 1435, 8013, 102, 6905, 3192, 102]"
329,"[101, 3341, 702, 5010, 6413, 172, 102, 6905, 3192, 102]"
330,"[101, 3341, 702, 5010, 6413, 1521, 102, 6905, 3192, 102]"
331,"[101, 3341, 702, 5010, 6413, 1521, 8013, 102, 6905, 3192, 102]"
332,"[101, 3341, 702, 5010, 6413, 1506, 102, 6905, 3192, 102]"
333,"[101, 3341, 702, 5010, 6413, 1506, 172, 102, 6905, 3192, 102]"
334,"[101, 5314, 2769, 2897, 3315, 741, 102, 6905, 3192, 102]"
335,"[101, 5314, 2769, 2897, 3315, 741, 8013, 102, 6905, 3192, 102]"
336,"[101, 5314, 2769, 2897, 3315, 741, 1557, 102, 6905, 3192, 102]"
337,"[101, 5314, 2769, 2897, 3315, 741, 1435, 102, 6905, 3192, 102]"
338,"[101, 5314, 2769, 2897, 3315, 741, 1446, 102, 6905, 3192, 102]"
339,"[101, 5314, 2769, 2897, 3315, 741, 1557, 8013, 102, 6905, 3192, 102]"
340,"[101, 5314, 2769, 6929, 3315, 741, 1435, 8013, 102, 6905, 3192, 102]"
341,"[101, 5314, 2769, 2897, 3315, 741, 1446, 8013, 102, 6905, 3192, 102]"
342,"[101, 5314, 2769, 2897, 3315, 741, 1677, 1677, 102, 6905, 3192, 102]"
343,"[101, 5314, 2769, 1343, 2897, 3315, 741, 102, 6905, 3192, 102]"
344,"[101, 5314, 2769, 1343, 2897, 3315, 741, 8013, 102, 6905, 3192, 102]"
345,"[101, 5314, 2769, 1343, 2897, 3315, 741, 1435, 102, 6905, 3192, 102]"
346,"[101, 5314, 2769, 1343, 2897, 3315, 741, 1557, 8013, 102, 6905, 3192, 102]"
347,"[101, 5314, 2769, 1343, 2897, 3315, 741, 1446, 102, 6905, 3192, 102]"
348,"[101, 5314, 2769, 1343, 2897, 3315, 741, 1446, 8013, 102, 6905, 3192, 102]"
349,"[101, 5314, 2769, 1343, 1525, 3315, 741, 1435, 8013, 102, 6905, 3192, 102]"
350,"[101, 2376, 2769, 2902, 2902, 3040, 102, 6905, 3192, 102]"
351,"[101, 2376, 2769, 2902, 2902, 3040, 8013, 102, 6905, 3192, 102]"
352,"[101, 2376, 2769, 2902, 2902, 3040, 1435, 102, 6905, 3192, 102]"
353,"[101, 2376, 2769, 2902, 2902, 3040, 1416, 102, 6905, 3192, 102]"
354,"[101, 2376, 2769, 2902, 678, 3040, 102, 6905, 3192, 102]"
355,"[101, 2376, 2769, 2902, 678, 3040, 8013, 102, 6905, 3192, 102]"
356,"[101, 2571, 3341, 2376, 2769, 2902, 678, 3040, 102, 6905, 3192, 102]"
357,"[101, 2571, 3341, 2376, 2769, 2902, 678, 3040, 8013, 102, 6905, 3192, 102]"
358,"[101, 2571, 3341, 2376, 2769, 2902, 678, 3040, 1446, 102, 6905, 3192, 102]"
359,"[101, 2571, 3341, 2376, 2769, 2902, 678, 3040, 1446, 8013, 102, 6905, 3192, 102]"
360,"[101, 2571, 3341, 2376, 2769, 2902, 678, 3040, 1557, 8013, 102, 6905, 3192, 102]"
361,"[101, 2571, 3341, 2376, 2769, 2902, 678, 3040, 1557, 102, 6905, 3192, 102]"
362,"[101, 3341, 2376, 2769, 2902, 3040, 1446, 102, 6905, 3192, 102]"
363,"[101, 3341, 2376, 2769, 2902, 3040, 1557, 102, 6905, 3192, 102]"
364,"[101, 3341, 2376, 2769, 2902, 3040, 1435, 102, 6905, 3192, 102]"
365,"[101, 3341, 2376, 2769, 2902, 3040, 1435, 8013, 102, 6905, 3192, 102]"
366,"[101, 5314, 2769, 702, 5741, 3362, 102, 6905, 3192, 102]"
367,"[101, 5314, 2769, 702, 5741, 3362, 8013, 102, 6905, 3192, 102]"
368,"[101, 2897, 671, 702, 5741, 3362, 5314, 2769, 8013, 102, 6905, 3192, 102]"
369,"[101, 2897, 702, 5741, 3362, 5314, 2769, 102, 6905, 3192, 102]"
370,"[101, 5314, 2769, 702, 7676, 5933, 102, 6905, 3192, 102]"
371,"[101, 2897, 671, 702, 7676, 5933, 5314, 2769, 8013, 102, 6905, 3192, 102]"
372,"[101, 2897, 702, 7676, 5933, 5314, 2769, 102, 6905, 3192, 102]"
373,"[101, 2897, 702, 7676, 5933, 5314, 2769, 8013, 102, 6905, 3192, 102]"
374,"[101, 5314, 2769, 702, 3581, 2094, 102, 6905, 3192, 102]"
375,"[101, 2897, 702, 3581, 2094, 5314, 2769, 102, 6905, 3192, 102]"
376,"[101, 5314, 2769, 702, 3581, 2094, 8013, 102, 6905, 3192, 102]"
377,"[101, 2897, 702, 3581, 2094, 5314, 2769, 8013, 102, 6905, 3192, 102]"
378,"[101, 5314, 2769, 702, 1506, 2166, 4478, 102, 6905, 3192, 102]"
379,"[101, 2897, 702, 1506, 2166, 4478, 5314, 2769, 8013, 102, 6905, 3192, 102]"
380,"[101, 5314, 2769, 702, 1506, 2166, 4478, 8013, 102, 6905, 3192, 102]"
381,"[101, 1343, 2897, 702, 1506, 2166, 4478, 5314, 2769, 8013, 102, 6905, 3192, 102]"
382,"[101, 1343, 2897, 702, 1506, 2166, 4478, 5314, 2769, 102, 6905, 3192, 102]"
383,"[101, 2897, 702, 3691, 2094, 6814, 3341, 102, 6905, 3192, 102]"
384,"[101, 2897, 702, 3691, 2094, 6814, 3341, 1557, 102, 6905, 3192, 102]"
385,"[101, 2897, 702, 3691, 2094, 6814, 3341, 1435, 102, 6905, 3192, 102]"
386,"[101, 1343, 2897, 702, 3691, 2094, 6814, 3341, 1557, 8013, 102, 6905, 3192, 102]"
387,"[101, 2571, 1343, 2897, 702, 3691, 2094, 6814, 3341, 102, 6905, 3192, 102]"
388,"[101, 6628, 5165, 1343, 2897, 702, 3691, 2094, 6814, 3341, 102, 6905, 3192, 102]"
389,"[101, 7716, 677, 1343, 2897, 702, 3691, 2094, 6814, 3341, 102, 6905, 3192, 102]"
390,"[101, 2571, 1343, 2897, 702, 3691, 2094, 6814, 3341, 8013, 102, 6905, 3192, 102]"
391,"[101, 6628, 5165, 1343, 2897, 702, 3691, 2094, 6814, 3341, 8013, 102, 6905, 3192, 102]"
392,"[101, 7716, 677, 1343, 2897, 702, 3691, 2094, 6814, 3341, 8013, 102, 6905, 3192, 102]"
393,"[101, 3341, 6134, 4028, 702, 2207, 682, 102, 6905, 3192, 102]"
394,"[101, 6134, 4028, 671, 678, 2207, 682, 102, 6905, 3192, 102]"
395,"[101, 3341, 6134, 4028, 702, 2207, 682, 8013, 102, 6905, 3192, 102]"
396,"[101, 6134, 4028, 671, 678, 2207, 682, 8013, 102, 6905, 3192, 102]"
397,"[101, 5314, 2769, 3341, 6134, 4028, 671, 678, 2207, 682, 102, 6905, 3192, 102]"
398,"[101, 6134, 4028, 671, 678, 2207, 682, 5314, 2769, 4692, 4692, 102, 6905, 3192, 102]"
399,"[101, 5314, 2769, 6134, 4028, 671, 678, 2207, 682, 8013, 102, 6905, 3192, 102]"
400,"[101, 6134, 4028, 671, 678, 2207, 682, 4692, 671, 678, 1446, 102, 6905, 3192, 102]"
401,"[101, 3341, 5314, 2769, 6134, 4028, 2207, 682, 4692, 4692, 1557, 102, 6905, 3192, 102]"
402,"[101, 3341, 6134, 4028, 702, 2207, 682, 1446, 102, 6905, 3192, 102]"
403,"[101, 679, 1963, 872, 3341, 6134, 4028, 671, 678, 2207, 682, 102, 6905, 3192, 102]"
404,"[101, 5314, 2769, 6134, 4028, 671, 678, 2207, 682, 1416, 102, 6905, 3192, 102]"
405,"[101, 5314, 2769, 6382, 702, 5010, 6413, 102, 6905, 3192, 102]"
406,"[101, 6382, 702, 5010, 6413, 102, 6905, 3192, 102]"
407,"[101, 872, 6382, 702, 5010, 6413, 102, 6905, 3192, 102]"
408,"[101, 6432, 702, 5010, 6413, 102, 6905, 3192, 102]"
409,"[101, 5314, 2769, 6432, 702, 5010, 6413, 102, 6905, 3192, 102]"
410,"[101, 872, 6432, 702, 5010, 6413, 102, 6905, 3192, 102]"
411,"[101, 1086, 6382, 671, 702, 5010, 6413, 102, 6905, 3192, 102]"
412,"[101, 1086, 6432, 671, 702, 5010, 6413, 102, 6905, 3192, 102]"
413,"[101, 3341, 702, 5010, 6413, 102, 6905, 3192, 102]"
414,"[101, 5314, 2769, 6382, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
415,"[101, 6382, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
416,"[101, 872, 6382, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
417,"[101, 6432, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
418,"[101, 5314, 2769, 6432, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
419,"[101, 872, 6432, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
420,"[101, 1086, 6382, 671, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
421,"[101, 1086, 6432, 671, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
422,"[101, 3341, 702, 5010, 6413, 511, 102, 6905, 3192, 102]"
423,"[101, 5314, 2769, 6382, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
424,"[101, 6382, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
425,"[101, 872, 6382, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
426,"[101, 6432, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
427,"[101, 5314, 2769, 6432, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
428,"[101, 872, 6432, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
429,"[101, 1086, 6382, 671, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
430,"[101, 1086, 6432, 671, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
431,"[101, 3341, 702, 5010, 6413, 8013, 102, 6905, 3192, 102]"
432,"[101, 5314, 2769, 1548, 7674, 2255, 3625, 102, 6905, 3192, 102]"
433,"[101, 1548, 7674, 2255, 3625, 102, 6905, 3192, 102]"
434,"[101, 1548, 671, 7674, 2255, 3625, 102, 6905, 3192, 102]"
435,"[101, 1548, 2255, 3625, 102, 6905, 3192, 102]"
436,"[101, 2571, 1548, 671, 7674, 2255, 3625, 102, 6905, 3192, 102]"
437,"[101, 1548, 7674, 2255, 3625, 5314, 2769, 1420, 102, 6905, 3192, 102]"
438,"[101, 1548, 7674, 2255, 3625, 1420, 1420, 102, 6905, 3192, 102]"
439,"[101, 2571, 1548, 2255, 3625, 102, 6905, 3192, 102]"
440,"[101, 1548, 4157, 2255, 3625, 1420, 1420, 102, 6905, 3192, 102]"
441,"[101, 3341, 7674, 2255, 3625, 102, 6905, 3192, 102]"
442,"[101, 3341, 3667, 2255, 3625, 102, 6905, 3192, 102]"
443,"[101, 1548, 7674, 2255, 3625, 1416, 102, 6905, 3192, 102]"
444,"[101, 872, 1548, 2255, 3625, 102, 6905, 3192, 102]"
445,"[101, 5314, 2769, 1548, 7674, 2255, 3625, 511, 102, 6905, 3192, 102]"
446,"[101, 1548, 7674, 2255, 3625, 511, 102, 6905, 3192, 102]"
447,"[101, 1548, 671, 7674, 2255, 3625, 511, 102, 6905, 3192, 102]"
448,"[101, 1548, 2255, 3625, 511, 102, 6905, 3192, 102]"
449,"[101, 2571, 1548, 671, 7674, 2255, 3625, 511, 102, 6905, 3192, 102]"
450,"[101, 1548, 7674, 2255, 3625, 5314, 2769, 1420, 511, 102, 6905, 3192, 102]"
451,"[101, 1548, 7674, 2255, 3625, 1420, 1420, 511, 102, 6905, 3192, 102]"
452,"[101, 2571, 1548, 2255, 3625, 511, 102, 6905, 3192, 102]"
453,"[101, 1548, 4157, 2255, 3625, 1420, 1420, 511, 102, 6905, 3192, 102]"
454,"[101, 3341, 7674, 2255, 3625, 511, 102, 6905, 3192, 102]"
455,"[101, 3341, 3667, 2255, 3625, 511, 102, 6905, 3192, 102]"
456,"[101, 1548, 7674, 2255, 3625, 1416, 511, 102, 6905, 3192, 102]"
457,"[101, 872, 1548, 2255, 3625, 511, 102, 6905, 3192, 102]"
458,"[101, 5314, 2769, 1548, 7674, 2255, 3625, 8013, 102, 6905, 3192, 102]"
459,"[101, 1548, 7674, 2255, 3625, 8013, 102, 6905, 3192, 102]"
460,"[101, 1548, 671, 7674, 2255, 3625, 8013, 102, 6905, 3192, 102]"
461,"[101, 1548, 2255, 3625, 8013, 102, 6905, 3192, 102]"
462,"[101, 2571, 1548, 671, 7674, 2255, 3625, 8013, 102, 6905, 3192, 102]"
463,"[101, 1548, 7674, 2255, 3625, 5314, 2769, 1420, 8013, 102, 6905, 3192, 102]"
464,"[101, 1548, 7674, 2255, 3625, 1420, 1420, 8013, 102, 6905, 3192, 102]"
465,"[101, 2571, 1548, 2255, 3625, 8013, 102, 6905, 3192, 102]"
466,"[101, 1548, 4157, 2255, 3625, 1420, 1420, 8013, 102, 6905, 3192, 102]"
467,"[101, 3341, 7674, 2255, 3625, 8013, 102, 6905, 3192, 102]"
468,"[101, 3341, 3667, 2255, 3625, 8013, 102, 6905, 3192, 102]"
469,"[101, 1548, 7674, 2255, 3625, 1416, 8013, 102, 6905, 3192, 102]"
470,"[101, 872, 1548, 2255, 3625, 8013, 102, 6905, 3192, 102]"
471,"[101, 6382, 3125, 752, 102, 6905, 3192, 102]"
472,"[101, 6382, 702, 3125, 752, 102, 6905, 3192, 102]"
473,"[101, 872, 6382, 702, 3125, 752, 102, 6905, 3192, 102]"
474,"[101, 5314, 2769, 6382, 702, 3125, 752, 102, 6905, 3192, 102]"
475,"[101, 872, 5314, 2769, 6382, 702, 3125, 752, 102, 6905, 3192, 102]"
476,"[101, 6382, 3125, 752, 1416, 102, 6905, 3192, 102]"
477,"[101, 6382, 702, 3125, 752, 1416, 102, 6905, 3192, 102]"
478,"[101, 872, 6382, 702, 3125, 752, 1416, 102, 6905, 3192, 102]"
479,"[101, 5314, 2769, 6382, 702, 3125, 752, 1416, 102, 6905, 3192, 102]"
480,"[101, 872, 5314, 2769, 6382, 702, 3125, 752, 1416, 102, 6905, 3192, 102]"
481,"[101, 6382, 3125, 752, 1420, 1420, 102, 6905, 3192, 102]"
482,"[101, 6382, 702, 3125, 752, 1420, 1420, 102, 6905, 3192, 102]"
483,"[101, 872, 6382, 702, 3125, 752, 1420, 1420, 102, 6905, 3192, 102]"
484,"[101, 5314, 2769, 6382, 702, 3125, 752, 1420, 1420, 102, 6905, 3192, 102]"
485,"[101, 872, 5314, 2769, 6382, 702, 3125, 752, 1420, 1420, 102, 6905, 3192, 102]"
486,"[101, 6382, 3125, 752, 511, 102, 6905, 3192, 102]"
487,"[101, 6382, 702, 3125, 752, 511, 102, 6905, 3192, 102]"
488,"[101, 872, 6382, 702, 3125, 752, 511, 102, 6905, 3192, 102]"
489,"[101, 5314, 2769, 6382, 702, 3125, 752, 511, 102, 6905, 3192, 102]"
490,"[101, 872, 5314, 2769, 6382, 702, 3125, 752, 511, 102, 6905, 3192, 102]"
491,"[101, 6382, 3125, 752, 1416, 511, 102, 6905, 3192, 102]"
492,"[101, 6382, 702, 3125, 752, 1416, 511, 102, 6905, 3192, 102]"
493,"[101, 872, 6382, 702, 3125, 752, 1416, 511, 102, 6905, 3192, 102]"
494,"[101, 5314, 2769, 6382, 702, 3125, 752, 1416, 511, 102, 6905, 3192, 102]"
495,"[101, 872, 5314, 2769, 6382, 702, 3125, 752, 1416, 511, 102, 6905, 3192, 102]"
496,"[101, 6382, 3125, 752, 1420, 1420, 511, 102, 6905, 3192, 102]"
497,"[101, 6382, 702, 3125, 752, 1420, 1420, 511, 102, 6905, 3192, 102]"
498,"[101, 872, 6382, 702, 3125, 752, 1420, 1420, 511, 102, 6905, 3192, 102]"
